symbol,security_id,exchange,segment,instrument
JINDALSTEL APR FUT,66871,NSE,D,FUTSTK
JINDALSTEL FEB FUT,59388,NSE,D,FUTSTK
JINDALSTEL MAR FUT,51940,NSE,D,FUTSTK
JIOFIN APR FUT,66872,NSE,D,FUTSTK
JIOFIN FEB FUT,59389,NSE,D,FUTSTK
JIOFIN MAR FUT,51947,NSE,D,FUTSTK
JSWENERGY APR FUT,66873,NSE,D,FUTSTK
JSWENERGY FEB FUT,59390,NSE,D,FUTSTK
JSWENERGY MAR FUT,51948,NSE,D,FUTSTK
JSWSTEEL APR FUT,66874,NSE,D,FUTSTK
JSWSTEEL FEB FUT,59391,NSE,D,FUTSTK
JSWSTEEL MAR FUT,51949,NSE,D,FUTSTK
JUBLFOOD APR FUT,66875,NSE,D,FUTSTK
JUBLFOOD FEB FUT,59392,NSE,D,FUTSTK
JUBLFOOD MAR FUT,51950,NSE,D,FUTSTK
KALYANKJIL APR FUT,66876,NSE,D,FUTSTK
KALYANKJIL FEB FUT,59393,NSE,D,FUTSTK
KALYANKJIL MAR FUT,51951,NSE,D,FUTSTK
KAPAS FEB FUT,552718,MCX,M,FUTCOM
KAPAS NOV FUT,487669,MCX,M,FUTCOM
KAYNES APR FUT,66877,NSE,D,FUTSTK
KAYNES FEB FUT,59394,NSE,D,FUTSTK
KAYNES MAR FUT,51952,NSE,D,FUTSTK
KEI APR FUT,66878,NSE,D,FUTSTK
KEI FEB FUT,59395,NSE,D,FUTSTK
KEI MAR FUT,51953,NSE,D,FUTSTK
KFINTECH APR FUT,66879,NSE,D,FUTSTK
KFINTECH FEB FUT,59396,NSE,D,FUTSTK
KFINTECH MAR FUT,51954,NSE,D,FUTSTK
KOTAKBANK APR FUT,66880,NSE,D,FUTSTK
KOTAKBANK FEB FUT,59397,NSE,D,FUTSTK
KOTAKBANK MAR FUT,51957,NSE,D,FUTSTK
KPITTECH APR FUT,66881,NSE,D,FUTSTK
KPITTECH FEB FUT,59398,NSE,D,FUTSTK
KPITTECH MAR FUT,51958,NSE,D,FUTSTK
LAURUSLABS APR FUT,66882,NSE,D,FUTSTK
LAURUSLABS FEB FUT,59399,NSE,D,FUTSTK
LAURUSLABS MAR FUT,51961,NSE,D,FUTSTK
LICHSGFIN APR FUT,66883,NSE,D,FUTSTK
LICHSGFIN FEB FUT,59400,NSE,D,FUTSTK
LICHSGFIN MAR FUT,51962,NSE,D,FUTSTK
LICI APR FUT,66884,NSE,D,FUTSTK
LICI FEB FUT,59401,NSE,D,FUTSTK
LICI MAR FUT,51963,NSE,D,FUTSTK
LODHA APR FUT,66885,NSE,D,FUTSTK
LODHA FEB FUT,59402,NSE,D,FUTSTK
LODHA MAR FUT,51964,NSE,D,FUTSTK
LT APR FUT,66886,NSE,D,FUTSTK
LT FEB FUT,59403,NSE,D,FUTSTK
LT MAR FUT,51966,NSE,D,FUTSTK
LTF APR FUT,66887,NSE,D,FUTSTK
LTF FEB FUT,59404,NSE,D,FUTSTK
LTF MAR FUT,51967,NSE,D,FUTSTK
LTIM APR FUT,66888,NSE,D,FUTSTK
LTIM FEB FUT,59413,NSE,D,FUTSTK
LTIM MAR FUT,51968,NSE,D,FUTSTK
LUPIN APR FUT,66889,NSE,D,FUTSTK
LUPIN FEB FUT,59414,NSE,D,FUTSTK
LUPIN MAR FUT,51969,NSE,D,FUTSTK
M&M APR FUT,66890,NSE,D,FUTSTK
M&M FEB FUT,59415,NSE,D,FUTSTK
M&M MAR FUT,51971,NSE,D,FUTSTK
MANAPPURAM APR FUT,66891,NSE,D,FUTSTK
MANAPPURAM FEB FUT,59416,NSE,D,FUTSTK
MANAPPURAM MAR FUT,51972,NSE,D,FUTSTK
MANKIND APR FUT,66892,NSE,D,FUTSTK
